,acc,uar
fold1,0.859375,0.85858187974859
fold2,0.7925,0.7902305324021928
fold3,0.795,0.795607788721324
fold4,0.795,0.7954602285514241
fold5,0.80125,0.8003201280512204
average,0.8086249999999999,0.8080401114949503
