,acc,uar
fold1,0.925,0.9248449379751901
fold2,0.839375,0.836922268907563
fold3,0.835625,0.8375953079178886
fold4,0.81875,0.8220137585991244
fold5,0.85625,0.8579124010686076
average,0.8550000000000001,0.8558577348936748
