,acc,uar,epoch,dataset,snr
fold1,0.5377245508982036,0.4704820130299311,171,msp-improv,10.463806488731796
fold2,0.5097375105842507,0.43781411654338165,188,msp-improv,10.037544868632896
fold3,0.5332167832167832,0.48633935344777596,156,msp-improv,9.928436068907565
fold4,0.4945770065075922,0.46799639754185207,193,msp-improv,9.65086684741404
fold5,0.4439252336448598,0.3874258067736762,179,msp-improv,9.695572382133061
average,0.503836216970338,0.45001153746732336,179,msp-improv,9.955245331163871
