,acc,rec,epoch,dataset
fold1,0.72,0.6908334329814279,96,crema-d
fold2,0.7015873015873015,0.6124847997589278,98,crema-d
fold3,0.7903225806451613,0.7138479403576298,158,crema-d
fold4,0.7613997879109226,0.6569363531715919,166,crema-d
fold5,0.7633507853403141,0.7054259040274637,178,crema-d
average,0.7473320910967398,0.6759056860594083,178,crema-d
