,acc,rec,epoch,dataset
fold1,0.6849462365591398,0.6560775073146861,94,msp-improv_crema-d
fold1,0.6047904191616766,0.5556301853393724,94,msp-improv
fold1,0.7502439024390244,0.7015322189155215,94,crema-d
fold2,0.647695202257761,0.6469117163689206,63,msp-improv_crema-d
fold2,0.5639288738357324,0.5385735285941842,63,msp-improv
fold2,0.7523809523809524,0.7518520209036276,63,crema-d
fold3,0.6717709720372836,0.6663382960115911,60,msp-improv_crema-d
fold3,0.5611888111888111,0.5059583888479943,60,msp-improv
fold3,0.7397849462365591,0.7498988129257298,60,crema-d
fold4,0.6664879356568365,0.6378696506454247,97,msp-improv_crema-d
fold4,0.5802603036876356,0.5810235219326129,97,msp-improv
fold4,0.750795334040297,0.6750271298323408,97,crema-d
fold5,0.6192592592592593,0.6134911670190596,29,msp-improv_crema-d
fold5,0.525233644859813,0.4760577158686294,29,msp-improv
fold5,0.724607329842932,0.7275901754789731,29,crema-d
average,0.6580319211540561,0.6441376674719365,29,msp-improv_crema-d
average,0.5670804105467337,0.5314486681165586,29,msp-improv
average,0.743562492987953,0.7211800716112385,29,crema-d
