,acc,uar,epoch,dataset,snr
fold1,0.6946341463414634,0.6214501560703259,180,crema-d,18.045874423322733
fold2,0.7026455026455026,0.6624875975722248,199,crema-d,18.13162381488685
fold3,0.7215053763440861,0.6466666086950053,158,crema-d,18.1477627943557
fold4,0.7295864262990456,0.628397775750257,172,crema-d,18.097543402277818
fold5,0.7225130890052356,0.6713452006265713,179,crema-d,18.120539553785296
average,0.7141769081270667,0.6460694677428769,179,crema-d,18.108668797725677
