,acc,uar,epoch,dataset
fold1,0.6317204301075269,0.5494754943961222,177,msp-improv_crema-d
fold1,0.5736526946107784,0.4704635894325253,177,msp-improv
fold1,0.6790243902439025,0.5823725424196542,177,crema-d
fold2,0.6020696142991533,0.5567913865961694,176,msp-improv_crema-d
fold2,0.5249788314987299,0.47842617595620907,176,msp-improv
fold2,0.6984126984126984,0.6278247619315231,176,crema-d
fold3,0.6418109187749668,0.552769926737588,180,msp-improv_crema-d
fold3,0.506993006993007,0.42593151426598874,180,msp-improv
fold3,0.7247311827956989,0.5894400777359713,180,crema-d
fold4,0.6112600536193029,0.5642152319801591,148,msp-improv_crema-d
fold4,0.5130151843817787,0.49776435685526593,148,msp-improv
fold4,0.7073170731707317,0.6079053558368677,148,crema-d
fold5,0.5708641975308641,0.5151297171678502,189,msp-improv_crema-d
fold5,0.4532710280373832,0.38389847032038604,189,msp-improv
fold5,0.7026178010471205,0.6119377513150261,189,crema-d
average,0.6115450428663628,0.5476763513755778,189,msp-improv_crema-d
average,0.5143821491043354,0.451296821366075,189,msp-improv
average,0.7024206291340302,0.6038960978478085,189,crema-d
