,acc,rec,epoch,dataset
fold1,0.6630012936610608,0.6365032515019898,122,iemocap_crema-d
fold1,0.6238003838771593,0.6389761300708068,122,iemocap
fold1,0.6829268292682927,0.5977519798327593,122,crema-d
fold2,0.6664406779661017,0.6520369582095927,180,iemocap_crema-d
fold2,0.6264150943396226,0.5727555179999869,180,iemocap
fold2,0.6888888888888889,0.632678461038659,180,crema-d
fold3,0.6782273603082851,0.6476473467728747,164,iemocap_crema-d
fold3,0.5917065390749602,0.5602484577316792,164,iemocap
fold3,0.7365591397849462,0.6306558651719514,164,crema-d
fold4,0.6580907244414353,0.616351758579638,187,iemocap_crema-d
fold4,0.5711610486891385,0.5601544262463802,187,iemocap
fold4,0.7073170731707317,0.618043752709861,187,crema-d
fold5,0.6304863582443654,0.608025482291225,96,iemocap_crema-d
fold5,0.5581395348837209,0.49431638695479846,96,iemocap
fold5,0.6858638743455497,0.6153412702399563,96,crema-d
average,0.6592492829242497,0.632112959471064,96,iemocap_crema-d
average,0.5942445201729203,0.5652901838007304,96,iemocap
average,0.7003111610916817,0.6188942657986374,96,crema-d
