,acc,rec,epoch,dataset
fold1,0.6946959896507116,0.6875568195001422,78,iemocap_crema-d
fold1,0.6602687140115163,0.6859364025482209,78,iemocap
fold1,0.7121951219512195,0.6666303654468089,78,crema-d
fold2,0.6894915254237288,0.6762850048111858,93,iemocap_crema-d
fold2,0.6509433962264151,0.5674661780543387,93,iemocap
fold2,0.7111111111111111,0.6650625668568373,93,crema-d
fold3,0.6763005780346821,0.6702113692225988,86,iemocap_crema-d
fold3,0.6012759170653907,0.591047350937849,86,iemocap
fold3,0.7268817204301076,0.6910399064006301,86,crema-d
fold4,0.6723087339201084,0.6424346950118677,84,iemocap_crema-d
fold4,0.5692883895131086,0.5649721766101077,84,iemocap
fold4,0.7306468716861082,0.6626054045312323,84,crema-d
fold5,0.6767497034400949,0.668300270694878,64,iemocap_crema-d
fold5,0.5827633378932968,0.5332231665907491,64,iemocap
fold5,0.7486910994764397,0.7065920173910889,64,crema-d
average,0.6819093060938652,0.6689576318481345,64,iemocap_crema-d
average,0.6129079509419455,0.5885290549482531,64,iemocap
average,0.7259051849309973,0.6783860521253194,64,crema-d
