,acc,rec,epoch,dataset
fold1,0.6364306784660767,0.5614593894327761,89,iemocap_msp-improv
fold1,0.654510556621881,0.6180321664328245,89,iemocap
fold1,0.6251497005988024,0.5092179246177924,89,msp-improv
fold2,0.5990648743424898,0.4955936437792327,64,iemocap_msp-improv
fold2,0.7075471698113207,0.6280000471577064,64,iemocap
fold2,0.550381033022862,0.43727264204482785,64,msp-improv
fold3,0.5654712260216848,0.48413569029235803,73,iemocap_msp-improv
fold3,0.5789473684210527,0.5154263404086789,73,iemocap
fold3,0.5506993006993007,0.441854521826898,73,msp-improv
fold4,0.5810439560439561,0.5288187540784274,97,iemocap_msp-improv
fold4,0.5805243445692884,0.5567018230811335,97,iemocap
fold4,0.5813449023861171,0.5115702479338843,97,msp-improv
fold5,0.5663520266518601,0.4715707623008235,76,iemocap_msp-improv
fold5,0.6361149110807114,0.5415345134078311,76,iemocap
fold5,0.5186915887850467,0.4296989881223173,76,msp-improv
average,0.5896725523052135,0.5083156479767236,76,iemocap_msp-improv
average,0.6315288701008508,0.5719389780976348,76,iemocap
average,0.5652533050984259,0.465922864909144,76,msp-improv
