,acc,rec,epoch,dataset
fold1,0.6215568862275449,0.5392122106431425,192,msp-improv
fold2,0.5580016934801016,0.4182901728157262,116,msp-improv
fold3,0.5559440559440559,0.4704647559930252,91,msp-improv
fold4,0.579175704989154,0.5733841915660097,155,msp-improv
fold5,0.5196261682242991,0.4754012960891098,172,msp-improv
average,0.5668609017730311,0.4953505254214027,172,msp-improv
