,acc,uar,epoch,dataset,snr
fold1,0.6660268714011516,0.6793797946472255,180,iemocap,21.521969539619118
fold2,0.7415094339622641,0.7107989392806147,191,iemocap,21.466041954166776
fold3,0.6363636363636364,0.6011355162361874,173,iemocap,21.1279785932334
fold4,0.5374531835205992,0.5040302981394935,170,iemocap,21.4635110436145
fold5,0.6073871409028728,0.5568142425300071,172,iemocap,20.790895501410134
average,0.6377480532301047,0.6104317581667056,172,iemocap,21.27407932640879
