,acc,rec,epoch,dataset
fold1,0.615568862275449,0.5469896923961697,164,msp-improv
fold2,0.56731583403895,0.4916492632149432,195,msp-improv
fold3,0.5611888111888111,0.4912032979716597,115,msp-improv
fold4,0.5802603036876356,0.5658031362576816,183,msp-improv
fold5,0.5009345794392523,0.43750969625190766,162,msp-improv
average,0.5650536781260197,0.5066310172184724,162,msp-improv
