,acc,rec,epoch,dataset
fold1,0.6202064896755162,0.5606982974111743,135,iemocap_msp-improv
fold1,0.6641074856046065,0.6440985060072287,135,iemocap
fold1,0.592814371257485,0.4910948363526024,135,msp-improv
fold2,0.5961426066627703,0.5398988301074678,151,iemocap_msp-improv
fold2,0.6754716981132075,0.6765725724199799,151,iemocap
fold2,0.5605419136325148,0.4880933157817195,151,msp-improv
fold3,0.5863219349457881,0.5229341916536604,80,iemocap_msp-improv
fold3,0.6124401913875598,0.5602993017422548,80,iemocap
fold3,0.5576923076923077,0.468241955931308,80,msp-improv
fold4,0.5989010989010989,0.5592168918910088,135,iemocap_msp-improv
fold4,0.5955056179775281,0.577912099607502,135,iemocap
fold4,0.6008676789587852,0.5476372112735749,135,msp-improv
fold5,0.5652415324819545,0.5153885279601351,196,iemocap_msp-improv
fold5,0.6429548563611491,0.6113732526635235,196,iemocap
fold5,0.5121495327102804,0.4575164135516352,196,msp-improv
average,0.5933627325334256,0.5396273478046891,196,iemocap_msp-improv
average,0.6380959698888102,0.6140511464880978,196,iemocap
average,0.5648131608502747,0.490516746578168,196,msp-improv
