,acc,rec,epoch,dataset
fold1,0.7141009055627425,0.6918440738934963,176,iemocap_crema-d
fold1,0.6698656429942419,0.688270060259428,176,iemocap
fold1,0.7365853658536585,0.6693976879896248,176,crema-d
fold2,0.6901694915254237,0.6697671283074758,183,iemocap_crema-d
fold2,0.6528301886792452,0.593085155850736,183,iemocap
fold2,0.7111111111111111,0.6472606708633751,183,crema-d
fold3,0.6820809248554913,0.6581746032308561,110,iemocap_crema-d
fold3,0.5773524720893142,0.5753701800769975,110,iemocap
fold3,0.7526881720430108,0.6560165543671854,110,crema-d
fold4,0.6743398781313473,0.6539378292274907,120,iemocap_crema-d
fold4,0.5823970037453183,0.5810903868375132,120,iemocap
fold4,0.7264050901378579,0.6709640087020192,120,crema-d
fold5,0.6773428232502966,0.6661335040151405,164,iemocap_crema-d
fold5,0.6019151846785226,0.5648893698644724,164,iemocap
fold5,0.7350785340314137,0.6805138230801249,164,crema-d
average,0.6876068046650603,0.6679714277348918,164,iemocap_crema-d
average,0.6168720984373285,0.6005410305778295,164,iemocap
average,0.7323736546354104,0.6648305490004659,164,crema-d
