,acc,uar,epoch,dataset,snr
fold1,0.5964071856287425,0.5082825304239713,194,msp-improv,12.794855020909951
fold2,0.5427603725656224,0.44742842093801377,194,msp-improv,12.264264292645985
fold3,0.5716783216783217,0.5070306312161924,187,msp-improv,12.367879850222218
fold4,0.5629067245119306,0.5331532104259378,197,msp-improv,11.885973075569188
fold5,0.48878504672897194,0.4196352847833174,171,msp-improv,11.861809134487924
average,0.5525075302227178,0.48310601555748656,171,msp-improv,12.234956274767054
