,acc,uar,epoch,dataset
fold1,0.6513583441138422,0.6173375243190576,181,iemocap_crema-d
fold1,0.6314779270633397,0.6314711720966242,181,iemocap
fold1,0.6614634146341464,0.5714994246656985,181,crema-d
fold2,0.6542372881355932,0.6336105196604407,174,iemocap_crema-d
fold2,0.6150943396226415,0.5217371802323668,174,iemocap
fold2,0.6761904761904762,0.6103456803008475,174,crema-d
fold3,0.6544637122671805,0.6176710383987571,185,iemocap_crema-d
fold3,0.5725677830940988,0.5471803874135206,185,iemocap
fold3,0.7096774193548387,0.5893473710145554,185,crema-d
fold4,0.6398104265402843,0.5870171008447619,189,iemocap_crema-d
fold4,0.5374531835205992,0.5172872838102723,189,iemocap
fold4,0.6977730646871686,0.5936010974785586,189,crema-d
fold5,0.6287069988137604,0.6058491047559145,185,iemocap_crema-d
fold5,0.560875512995896,0.4909912344788013,185,iemocap
fold5,0.680628272251309,0.6114295323959806,185,crema-d
average,0.645715353974132,0.6122970575957863,185,iemocap_crema-d
average,0.5834937492593151,0.5417334516063171,185,iemocap
average,0.6851465294235879,0.5952446211711282,185,crema-d
