,acc,rec,epoch,dataset
fold1,0.6871401151631478,0.7274324715739441,90,iemocap
fold2,0.7132075471698113,0.6864308306117122,52,iemocap
fold3,0.620414673046252,0.5872039897384298,88,iemocap
fold4,0.5599250936329588,0.572045212131419,29,iemocap
fold5,0.625170998632011,0.5446496231728022,50,iemocap
average,0.6411716855288362,0.6235524254456614,50,iemocap
