,acc,uar
fold1,0.71625,0.7140021878418503
fold2,0.7075,0.7026732747615829
fold3,0.6875,0.6883547088677217
fold4,0.67875,0.6691102756892231
fold5,0.65125,0.6625417347891179
average,0.68825,0.6873364363898993
