,acc,uar
fold1,0.921875,0.921875
fold2,0.899375,0.8967546432062561
fold3,0.885,0.88271875136788
fold4,0.87875,0.877260200309202
fold5,0.875,0.8747523422021388
average,0.892,0.8906721874170953
