,acc,uar,epoch,dataset
fold1,0.6946959896507116,0.6706412191020004,172,iemocap_crema-d
fold1,0.6468330134357005,0.6762455187297874,172,iemocap
fold1,0.7190243902439024,0.6388731749240639,172,crema-d
fold2,0.6928813559322033,0.670919639749218,198,iemocap_crema-d
fold2,0.660377358490566,0.6484295551602595,198,iemocap
fold2,0.7111111111111111,0.6470201350508111,198,crema-d
fold3,0.6885035324341683,0.6668225686027154,151,iemocap_crema-d
fold3,0.5725677830940988,0.5538331031972855,151,iemocap
fold3,0.7666666666666667,0.6888038636789287,151,crema-d
fold4,0.6797562626946513,0.6367673254854345,196,iemocap_crema-d
fold4,0.5936329588014981,0.5735221090106148,196,iemocap
fold4,0.7285259809119831,0.6455179377548519,196,crema-d
fold5,0.6892052194543298,0.6692550745929606,186,iemocap_crema-d
fold5,0.6238030095759234,0.5389556577320562,186,iemocap
fold5,0.7392670157068063,0.6767027814845339,186,crema-d
average,0.6890084720332128,0.6628811655064657,186,iemocap_crema-d
average,0.6194428246795574,0.5981971887660007,186,iemocap
average,0.7329190329280939,0.6593835785786378,186,crema-d
