,acc,uar
fold1,0.6388888888888888,0.61875
fold2,0.5855555555555556,0.6025
fold3,0.601,0.601
fold4,0.605,0.605
fold5,0.572,0.5720000000000001
average,0.6004888888888888,0.59985
