,acc,uar
fold1,0.7461111111111111,0.738546176046176
fold2,0.7783333333333333,0.7839670406531027
fold3,0.7825,0.7833168746266775
fold4,0.785,0.784840180455461
fold5,0.7765,0.7759296594982079
average,0.7736888888888889,0.773319986255925
