,acc,uar,epoch,dataset
fold1,0.6497560975609756,0.6535109513875133,113,crema-d
fold2,0.6941798941798942,0.6200596482721314,190,crema-d
fold3,0.6494623655913978,0.6555530706144563,161,crema-d
fold4,0.7051961823966065,0.5814270446966961,168,crema-d
fold5,0.6837696335078534,0.5924409513156976,106,crema-d
average,0.6764728346473456,0.620598333257299,106,crema-d
