,acc,uar,epoch,dataset
fold1,0.6246312684365781,0.5521071210387286,142,iemocap_msp-improv
fold1,0.6794625719769674,0.6319148734841994,142,iemocap
fold1,0.5904191616766467,0.4835029019596105,142,msp-improv
fold2,0.592051431911163,0.5404280079114618,156,iemocap_msp-improv
fold2,0.6660377358490566,0.6741988783046037,156,iemocap
fold2,0.558848433530906,0.4879772607697664,156,msp-improv
fold3,0.572977481234362,0.5195368340957931,148,iemocap_msp-improv
fold3,0.5821371610845295,0.5368208756587421,148,iemocap
fold3,0.5629370629370629,0.48945708402605853,148,msp-improv
fold4,0.6112637362637363,0.5768023302700542,160,iemocap_msp-improv
fold4,0.5861423220973783,0.5628551897230057,160,iemocap
fold4,0.6258134490238612,0.5850286077558805,160,msp-improv
fold5,0.5685730149916713,0.5187234730366754,162,iemocap_msp-improv
fold5,0.6183310533515732,0.6027130301165975,162,iemocap
fold5,0.5345794392523364,0.4726602300447569,162,msp-improv
average,0.5938993865675022,0.5415195532705426,162,iemocap_msp-improv
average,0.6264221688719009,0.6017005694574296,162,iemocap
average,0.5745195092841626,0.5037252169112145,162,msp-improv
