,acc,uar,attack_success_rate
fold1,0.835,0.835,0.835
fold2,0.76625,0.7662500000000001,0.76625
fold3,0.79125,0.79125,0.79125
fold4,0.78875,0.7887500000000001,0.78875
fold5,0.79375,0.79375,0.79375
average,0.7949999999999999,0.7950000000000002,0.7949999999999999
