,acc,uar,attack_success_rate
fold1,0.8755555555555555,0.8807499999999999,0.8755555555555555
fold2,0.87,0.8587499999999999,0.87
fold3,0.858,0.8580000000000001,0.858
fold4,0.846,0.8460000000000001,0.8460000000000001
fold5,0.903,0.903,0.903
average,0.8705111111111112,0.8693000000000002,0.8705111111111112
