,acc,uar,attack_success_rate
fold1,0.925,0.925,0.925
fold2,0.8625,0.8625,0.8625
fold3,0.8675,0.8674999999999999,0.8675
fold4,0.8225,0.8225,0.8225
fold5,0.87125,0.87125,0.8712500000000001
average,0.86975,0.86975,0.86975
