,acc,uar,attack_success_rate
fold1,0.90875,0.90875,0.9087500000000001
fold2,0.89125,0.89125,0.89125
fold3,0.91,0.9099999999999999,0.9099999999999999
fold4,0.89,0.89,0.89
fold5,0.89375,0.89375,0.89375
average,0.89875,0.89875,0.89875
