,acc,uar,epoch,dataset,snr
fold1,0.5239923224568138,0.5174956890113118,152,iemocap,9.773547272210001
fold2,0.6396226415094339,0.5888995365384488,152,iemocap,9.76398288050498
fold3,0.5422647527910686,0.49738429865593414,151,iemocap,9.754371634204418
fold4,0.5449438202247191,0.5432210456635743,169,iemocap,9.764942353938162
fold5,0.5225718194254446,0.5237129384239513,164,iemocap,9.732366666355764
average,0.554679071281496,0.534142701658644,164,iemocap,9.757842161442664
