,acc,rec,epoch,dataset
fold1,0.5626843657817109,0.47962242593304194,49,iemocap_msp-improv
fold1,0.5911708253358925,0.5274859669478504,49,iemocap
fold1,0.5449101796407185,0.43596668257937266,49,msp-improv
fold2,0.5721800116890707,0.46280327188026826,92,iemocap_msp-improv
fold2,0.6622641509433962,0.545554284003448,92,iemocap
fold2,0.5317527519051651,0.422193074600631,92,msp-improv
fold3,0.5212677231025855,0.4438880313747758,95,iemocap_msp-improv
fold3,0.507177033492823,0.44650799767366345,95,iemocap
fold3,0.5367132867132867,0.43061572723239433,95,msp-improv
fold4,0.5528846153846154,0.47372046382478217,51,iemocap_msp-improv
fold4,0.548689138576779,0.5134017748960278,51,iemocap
fold4,0.5553145336225597,0.45289785971604146,51,msp-improv
fold5,0.5313714602998334,0.4215855540048243,68,iemocap_msp-improv
fold5,0.615595075239398,0.4710079314139006,68,iemocap
fold5,0.4738317757009346,0.3782779384599255,68,msp-improv
average,0.5480776352515633,0.45632394940353843,68,iemocap_msp-improv
average,0.5849792447176577,0.500791590986978,68,iemocap
average,0.5285045055165329,0.423990256517673,68,msp-improv
