,acc,uar,epoch,dataset
fold1,0.6290322580645161,0.5518104183341821,185,msp-improv_crema-d
fold1,0.5640718562874252,0.47715848079364276,185,msp-improv
fold1,0.6819512195121952,0.5843618924713131,185,crema-d
fold2,0.6067732831608654,0.5364133186325049,95,msp-improv_crema-d
fold2,0.5351397121083827,0.45204312768513216,95,msp-improv
fold2,0.6962962962962963,0.6118940337816663,95,crema-d
fold3,0.6531291611185086,0.5732847814937675,167,msp-improv_crema-d
fold3,0.513986013986014,0.44317672229616595,167,msp-improv
fold3,0.7387096774193549,0.6171995294593,167,crema-d
fold4,0.6412868632707774,0.5791067508751142,190,msp-improv_crema-d
fold4,0.5509761388286334,0.515977961432507,190,msp-improv
fold4,0.7295864262990456,0.6214084544413432,190,crema-d
fold5,0.5846913580246914,0.5400563436167913,142,msp-improv_crema-d
fold5,0.4766355140186916,0.4157801725551715,142,msp-improv
fold5,0.7057591623036649,0.6249437277638016,142,crema-d
average,0.6229825847278718,0.556134322590472,142,msp-improv_crema-d
average,0.5281618470458294,0.46082729295252384,142,msp-improv
average,0.7104605563661114,0.6119615275834849,142,crema-d
