,acc,uar,attack_success_rate
fold1,0.91375,0.9137500000000001,0.91375
fold2,0.85875,0.85875,0.85875
fold3,0.8725,0.8725,0.8725000000000002
fold4,0.8575,0.8575,0.8574999999999999
fold5,0.85,0.8500000000000001,0.85
average,0.8705,0.8705,0.8705
