,acc,uar,epoch,dataset,snr
fold1,0.7004878048780487,0.6363676608662334,180,crema-d,23.39943171561341
fold2,0.6962962962962963,0.6226086067173542,169,crema-d,23.50940775393187
fold3,0.7462365591397849,0.6283072497288914,158,crema-d,23.470350519264507
fold4,0.7295864262990456,0.6223065826631604,164,crema-d,23.48265882612891
fold5,0.7130890052356021,0.6466798579238819,191,crema-d,23.4215784615291
average,0.7171392183697556,0.6312539915799043,191,crema-d,23.456685455293563
