,acc,uar,epoch,dataset
fold1,0.5995575221238938,0.5047020118032,175,iemocap_msp-improv
fold1,0.6487523992322457,0.5773323742774416,175,iemocap
fold1,0.5688622754491018,0.44212896782295324,175,msp-improv
fold2,0.5943892460549386,0.4866449461640385,196,iemocap_msp-improv
fold2,0.7018867924528301,0.5802256441413678,196,iemocap
fold2,0.54614733276884,0.4266544777970335,196,msp-improv
fold3,0.5562969140950792,0.47919356124986917,122,iemocap_msp-improv
fold3,0.5933014354066986,0.5228577723544167,122,iemocap
fold3,0.5157342657342657,0.40916791297506966,122,msp-improv
fold4,0.5467032967032966,0.46631350401638205,102,iemocap_msp-improv
fold4,0.5543071161048689,0.5182262501228019,102,iemocap
fold4,0.5422993492407809,0.43395316804407713,102,msp-improv
fold5,0.535258189894503,0.42637594151496744,140,iemocap_msp-improv
fold5,0.6087551299589603,0.4629447093343114,140,iemocap
fold5,0.4850467289719626,0.3915931794148935,140,msp-improv
average,0.5664410337743423,0.47264599294969145,140,iemocap_msp-improv
average,0.6214005746311208,0.5323173500460678,140,iemocap
average,0.5316179904329903,0.42069954121080544,140,msp-improv
