,acc,rec,epoch,dataset
fold1,0.6591397849462366,0.5778427594823388,26,msp-improv_crema-d
fold1,0.5952095808383233,0.511967671749562,26,msp-improv
fold1,0.7112195121951219,0.6134497175597295,26,crema-d
fold2,0.6001881467544685,0.5997987599283148,83,msp-improv_crema-d
fold2,0.5131244707874683,0.5018224770269744,83,msp-improv
fold2,0.708994708994709,0.6965745145058573,83,crema-d
fold3,0.6684420772303595,0.6482599928551515,36,msp-improv_crema-d
fold3,0.5611888111888111,0.5372380666645519,36,msp-improv
fold3,0.7344086021505376,0.7071260367324043,36,crema-d
fold4,0.6455764075067024,0.6001742016014282,37,msp-improv_crema-d
fold4,0.559652928416486,0.5310182242000424,37,msp-improv
fold4,0.7295864262990456,0.6544313551666259,37,crema-d
fold5,0.6093827160493828,0.5828006468510856,37,msp-improv_crema-d
fold5,0.48785046728971965,0.4613721908791412,37,msp-improv
fold5,0.7455497382198953,0.6819253713988753,37,crema-d
average,0.6365458264974299,0.6017752721436637,37,msp-improv_crema-d
average,0.5434052517041617,0.5086837261040544,37,msp-improv
average,0.7259517975718619,0.6707013990726984,37,crema-d
