,acc,uar,epoch,dataset,snr
fold1,0.615568862275449,0.5263082001350342,166,msp-improv,18.52593246975565
fold2,0.5656223539373413,0.48660826230190596,176,msp-improv,17.60159170010457
fold3,0.5472027972027972,0.4950774531141308,162,msp-improv,18.114217996844424
fold4,0.596529284164859,0.5781998304725577,182,msp-improv,17.306573170730566
fold5,0.514018691588785,0.44741362560457804,188,msp-improv,17.269054696507215
average,0.5677883978338463,0.5067214743256414,188,msp-improv,17.763474006788485
