,acc,rec,epoch,dataset
fold1,0.6172566371681416,0.56053000968105,72,iemocap_msp-improv
fold1,0.6506717850287908,0.622385240789877,72,iemocap
fold1,0.5964071856287425,0.5002622680249911,72,msp-improv
fold2,0.5768556399766218,0.5351105426029583,55,iemocap_msp-improv
fold2,0.6358490566037736,0.6337107905605626,55,iemocap
fold2,0.550381033022862,0.48521521015279967,55,msp-improv
fold3,0.5554628857381151,0.5286573269749565,82,iemocap_msp-improv
fold3,0.6012759170653907,0.5685959738679626,82,iemocap
fold3,0.5052447552447552,0.48259215646913795,82,msp-improv
fold4,0.5755494505494505,0.5555865646197986,59,iemocap_msp-improv
fold4,0.5692883895131086,0.5528461959496442,59,iemocap
fold4,0.579175704989154,0.5526064844246663,59,msp-improv
fold5,0.5441421432537479,0.48320199901317934,92,iemocap_msp-improv
fold5,0.5718194254445964,0.5357454168466013,92,iemocap
fold5,0.525233644859813,0.4540911851358622,92,msp-improv
average,0.5738533513372153,0.5326172885783886,92,iemocap_msp-improv
average,0.605780914731132,0.5826567236029294,92,iemocap
average,0.5512884647490653,0.4949534608414915,92,msp-improv
