,acc,rec,epoch,dataset
fold1,0.636021505376344,0.5435647669589776,54,msp-improv_crema-d
fold1,0.5868263473053892,0.48006541083209947,54,msp-improv
fold1,0.6760975609756098,0.5653799029192226,54,crema-d
fold2,0.6048918156161807,0.5519203808755219,98,msp-improv_crema-d
fold2,0.5351397121083827,0.48287033356983805,98,msp-improv
fold2,0.692063492063492,0.6143590803212229,98,crema-d
fold3,0.62982689747004,0.5662600733330735,82,msp-improv_crema-d
fold3,0.5227272727272727,0.4443639877445914,82,msp-improv
fold3,0.6956989247311828,0.6069394331767434,82,crema-d
fold4,0.6096514745308311,0.5421696699797669,53,msp-improv_crema-d
fold4,0.5162689804772235,0.47422653104471285,53,msp-improv
fold4,0.7009544008483564,0.5866721642920723,53,crema-d
fold5,0.5688888888888889,0.5140945011872906,78,msp-improv_crema-d
fold5,0.4504672897196262,0.3808941771074132,78,msp-improv
fold5,0.7015706806282722,0.6173009892678595,78,crema-d
average,0.6098561163764569,0.5436018784669262,78,msp-improv_crema-d
average,0.5222859204675789,0.452484088059731,78,msp-improv
average,0.6932770118493826,0.5981303139954242,78,crema-d
