,acc,rec,epoch,dataset
fold1,0.6429495472186287,0.6582279346379748,51,iemocap_crema-d
fold1,0.5930902111324377,0.6053853702712737,51,iemocap
fold1,0.6682926829268293,0.6600472699418338,51,crema-d
fold2,0.680677966101695,0.6643613093812729,53,iemocap_crema-d
fold2,0.6264150943396226,0.5731544283279633,53,iemocap
fold2,0.7111111111111111,0.6611139058484091,53,crema-d
fold3,0.6583172768143867,0.6546825109066168,69,iemocap_crema-d
fold3,0.5757575757575758,0.5447100820996971,69,iemocap
fold3,0.7139784946236559,0.66819529948384,69,crema-d
fold4,0.6208530805687204,0.6064840570682772,45,iemocap_crema-d
fold4,0.5243445692883895,0.5314256943567288,45,iemocap
fold4,0.6755037115588547,0.621398303716298,45,crema-d
fold5,0.6405693950177936,0.6337227859406281,75,iemocap_crema-d
fold5,0.5690834473324213,0.5254314360843099,75,iemocap
fold5,0.6952879581151833,0.6339792026443408,75,crema-d
average,0.648673453144245,0.643495719586954,75,iemocap_crema-d
average,0.5777381795700893,0.5560214022279946,75,iemocap
average,0.6928347916671269,0.6489467963269443,75,crema-d
