,acc,rec,epoch,dataset
fold1,0.7153945666235446,0.7137390315283976,96,iemocap_crema-d
fold1,0.6852207293666027,0.718616988633624,96,iemocap
fold1,0.7307317073170732,0.6962242319582569,96,crema-d
fold2,0.704406779661017,0.7162740008717007,66,iemocap_crema-d
fold2,0.6509433962264151,0.667580908367093,66,iemocap
fold2,0.7343915343915344,0.7186983139896064,66,crema-d
fold3,0.6968529222864484,0.6886761966693296,94,iemocap_crema-d
fold3,0.6124401913875598,0.6038271267960423,94,iemocap
fold3,0.7537634408602151,0.6904554405202635,94,crema-d
fold4,0.6743398781313473,0.6882684826459763,40,iemocap_crema-d
fold4,0.6198501872659176,0.6390515136204792,40,iemocap
fold4,0.7051961823966065,0.6980577501081185,40,crema-d
fold5,0.6951364175563464,0.6996022801606468,79,iemocap_crema-d
fold5,0.6306429548563611,0.6203731816756684,79,iemocap
fold5,0.7445026178010471,0.7099326018032523,79,crema-d
average,0.6972261128517407,0.7013119983752103,79,iemocap_crema-d
average,0.6398194918205713,0.6498899438185815,79,iemocap
average,0.7337170965532953,0.7026736676758996,79,crema-d
