,acc,uar,attack_success_rate
fold1,0.7208333333333333,0.7021875,0.7208333333333333
fold2,0.7095890410958904,0.701766917293233,0.7095890410958904
fold3,0.7109589041095891,0.7016165413533835,0.7109589041095892
fold4,0.6821917808219178,0.6796546546546547,0.6821917808219179
fold5,0.7013698630136986,0.6877073906485671,0.7013698630136985
average,0.7049885844748859,0.6945866007899676,0.7049885844748858
