,acc,uar,attack_success_rate
fold1,0.8977777777777778,0.9025,0.8977777777777778
fold2,0.8955555555555555,0.88825,0.8955555555555554
fold3,0.908,0.9079999999999999,0.9080000000000001
fold4,0.895,0.895,0.895
fold5,0.934,0.9339999999999999,0.934
average,0.9060666666666666,0.9055500000000001,0.9060666666666666
