,acc,uar,attack_success_rate
fold1,0.88,0.88,0.8800000000000001
fold2,0.815,0.815,0.8149999999999998
fold3,0.83375,0.83375,0.83375
fold4,0.80625,0.80625,0.80625
fold5,0.81625,0.8162499999999999,0.8162500000000001
average,0.8302499999999998,0.8302499999999998,0.8302499999999998
