,acc,rec,epoch,dataset
fold1,0.6047197640117994,0.5766667203570047,149,iemocap_msp-improv
fold1,0.6794625719769674,0.67808146124814,149,iemocap
fold1,0.5580838323353293,0.4938284433492629,149,msp-improv
fold2,0.5879602571595558,0.5596287906492564,193,iemocap_msp-improv
fold2,0.6660377358490566,0.7026460463198345,193,iemocap
fold2,0.5529212531752752,0.5110637466926988,193,msp-improv
fold3,0.5763135946622185,0.5098503295115955,118,iemocap_msp-improv
fold3,0.6060606060606061,0.5431835129821708,118,iemocap
fold3,0.5437062937062938,0.44275697972501116,118,msp-improv
fold4,0.5927197802197802,0.5317173421944741,112,iemocap_msp-improv
fold4,0.5973782771535581,0.5492528384769764,112,iemocap
fold4,0.5900216919739696,0.5225683407501589,112,msp-improv
fold5,0.5452526374236535,0.4791421287230977,179,iemocap_msp-improv
fold5,0.600547195622435,0.5758290420188946,179,iemocap
fold5,0.5074766355140187,0.4300641100075157,179,msp-improv
average,0.5813932066954014,0.5314010622870857,179,iemocap_msp-improv
average,0.6298972773325245,0.6097985802092033,179,iemocap
average,0.5504419413409772,0.4800563241049295,179,msp-improv
