,acc,uar,epoch,dataset
fold1,0.6134408602150537,0.6003232549396519,182,msp-improv_crema-d
fold1,0.562874251497006,0.527112125591967,182,msp-improv
fold1,0.6546341463414634,0.6359316245150803,182,crema-d
fold2,0.5823142050799623,0.5139868870255605,115,msp-improv_crema-d
fold2,0.5300592718035563,0.44148931636813865,115,msp-improv
fold2,0.6476190476190476,0.5681235597403906,115,crema-d
fold3,0.6478029294274301,0.5824799468439517,134,msp-improv_crema-d
fold3,0.5594405594405595,0.4506373292007458,134,msp-improv
fold3,0.7021505376344086,0.6373837839163141,134,crema-d
fold4,0.6150134048257373,0.5888128625849487,180,msp-improv_crema-d
fold4,0.5325379609544468,0.49339372748463656,180,msp-improv
fold4,0.6956521739130435,0.6513718614151626,180,crema-d
fold5,0.5654320987654321,0.5222000000055301,156,msp-improv_crema-d
fold5,0.45794392523364486,0.3979484225568768,156,msp-improv
fold5,0.6858638743455497,0.6125919567004473,156,crema-d
average,0.6048006996627231,0.5615605902799286,156,msp-improv_crema-d
average,0.5285711937858427,0.46211618424047296,156,msp-improv
average,0.6771839559707026,0.621080557257479,156,crema-d
