,acc,uar,epoch,dataset
fold1,0.584070796460177,0.5328094861488372,196,iemocap_msp-improv
fold1,0.5547024952015355,0.5490457153627991,196,iemocap
fold1,0.6023952095808384,0.5048930653689411,196,msp-improv
fold2,0.6323787258912916,0.5684377861798036,181,iemocap_msp-improv
fold2,0.7622641509433963,0.7918877229846661,181,iemocap
fold2,0.5740897544453852,0.48168168437721615,181,msp-improv
fold3,0.5529608006672226,0.4854716607037418,163,iemocap_msp-improv
fold3,0.5374800637958532,0.4840032254726709,163,iemocap
fold3,0.5699300699300699,0.48410084128730796,163,msp-improv
fold4,0.5556318681318682,0.5334060484398506,196,iemocap_msp-improv
fold4,0.6104868913857678,0.6032398051076212,196,iemocap
fold4,0.5238611713665944,0.4929910998092816,196,msp-improv
fold5,0.5358134369794558,0.4929901161926239,173,iemocap_msp-improv
fold5,0.573187414500684,0.5771985530308856,173,iemocap
fold5,0.5102803738317757,0.4567295493767727,173,msp-improv
average,0.572171125626003,0.5226230195329714,173,iemocap_msp-improv
average,0.6076242031654473,0.6010750043917286,173,iemocap
average,0.5561113158309328,0.4840792480439039,173,msp-improv
