,acc,uar,epoch,dataset
fold1,0.6384217335058214,0.628759565919344,156,iemocap_crema-d
fold1,0.5412667946257198,0.5884732432088862,156,iemocap
fold1,0.6878048780487804,0.6271771965890401,156,crema-d
fold2,0.6813559322033899,0.6504542807289149,139,iemocap_crema-d
fold2,0.7094339622641509,0.6781494438680724,139,iemocap
fold2,0.6656084656084656,0.5817815949079175,139,crema-d
fold3,0.6480411046885035,0.6248173392172083,166,iemocap_crema-d
fold3,0.5534290271132376,0.5205822798811142,166,iemocap
fold3,0.7118279569892473,0.6547950678119514,166,crema-d
fold4,0.6682464454976303,0.632783091288153,141,iemocap_crema-d
fold4,0.651685393258427,0.638958125739735,141,iemocap
fold4,0.6776246023329798,0.6003794266987723,141,crema-d
fold5,0.6304863582443654,0.6468824153124121,137,iemocap_crema-d
fold5,0.5882352941176471,0.510139653815893,137,iemocap
fold5,0.6628272251308901,0.6761062812281704,137,crema-d
average,0.6533103148279421,0.6367393384932065,137,iemocap_crema-d
average,0.6088100942758365,0.5872605493027401,137,iemocap
average,0.6811386256220726,0.6280479134471704,137,crema-d
