,acc,uar,attack_success_rate
fold1,0.9125,0.9125,0.9125
fold2,0.85,0.85,0.85
fold3,0.87375,0.87375,0.87375
fold4,0.86375,0.86375,0.8637499999999999
fold5,0.8475,0.8474999999999999,0.8474999999999999
average,0.8695,0.8695,0.8695
