,acc,uar,attack_success_rate
fold1,0.9625,0.9625,0.9625
fold2,0.9275,0.9275,0.9275
fold3,0.93375,0.9337500000000001,0.9337500000000001
fold4,0.93625,0.93625,0.93625
fold5,0.925,0.925,0.925
average,0.9369999999999999,0.937,0.937
