,acc,uar,epoch,dataset
fold1,0.639247311827957,0.5540330862508606,194,msp-improv_crema-d
fold1,0.5640718562874252,0.4466152467639579,194,msp-improv
fold1,0.7004878048780487,0.6123117954490447,194,crema-d
fold2,0.5997177798682972,0.5290365147423473,157,msp-improv_crema-d
fold2,0.5351397121083827,0.42916302341397067,157,msp-improv
fold2,0.6804232804232804,0.6128756544495371,157,crema-d
fold3,0.6498002663115846,0.5634704110987433,177,msp-improv_crema-d
fold3,0.5332167832167832,0.427448565012813,177,msp-improv
fold3,0.7215053763440861,0.6145507786821314,177,crema-d
fold4,0.6273458445040214,0.5550306442364148,127,msp-improv_crema-d
fold4,0.5498915401301518,0.4910574274210638,127,msp-improv
fold4,0.7030752916224814,0.5937787052371271,127,crema-d
fold5,0.5634567901234568,0.5198972061551369,138,msp-improv_crema-d
fold5,0.4523364485981308,0.3765024268449808,138,msp-improv
fold5,0.6879581151832461,0.6324876740516453,138,crema-d
average,0.6159135985270634,0.5442935724967005,138,msp-improv_crema-d
average,0.5269312680681748,0.4341573378913573,138,msp-improv
average,0.6986899736902286,0.613200921573897,138,crema-d
