,acc,uar,epoch,dataset
fold1,0.6869340232858991,0.6402459509837728,185,iemocap_crema-d
fold1,0.6717850287907869,0.6587149304357824,185,iemocap
fold1,0.6946341463414634,0.5968558215755659,185,crema-d
fold2,0.6745762711864407,0.6499468374415673,164,iemocap_crema-d
fold2,0.6471698113207547,0.5434544939100757,164,iemocap
fold2,0.68994708994709,0.6260618817472806,164,crema-d
fold3,0.6480411046885035,0.6000388613800884,127,iemocap_crema-d
fold3,0.5342902711323764,0.5029329858100611,127,iemocap
fold3,0.7247311827956989,0.6060301786663596,127,crema-d
fold4,0.6459038591740014,0.6188706622173596,114,iemocap_crema-d
fold4,0.5711610486891385,0.5413953330619997,114,iemocap
fold4,0.6882290562036055,0.6363658818110929,114,crema-d
fold5,0.6488730723606169,0.6413780208180382,150,iemocap_crema-d
fold5,0.5937072503419972,0.5002723789213395,150,iemocap
fold5,0.6910994764397905,0.6578768910877129,150,crema-d
average,0.6608656661390923,0.6300960665681654,150,iemocap_crema-d
average,0.6036226820550107,0.5493540244278516,150,iemocap
average,0.6977281903455297,0.6246381309776023,150,crema-d
