,acc,rec,epoch,dataset
fold1,0.678494623655914,0.6165401592725166,83,msp-improv_crema-d
fold1,0.6119760479041916,0.5455679482447493,83,msp-improv
fold1,0.7326829268292683,0.6580854307561523,83,crema-d
fold2,0.6349952963311383,0.5981105672399877,88,msp-improv_crema-d
fold2,0.563082133784928,0.5188976226685477,88,msp-improv
fold2,0.7248677248677249,0.6723253475863435,88,crema-d
fold3,0.6824234354194407,0.6290407236903096,93,msp-improv_crema-d
fold3,0.548951048951049,0.49507114802158597,93,msp-improv
fold3,0.7645161290322581,0.6895527891546896,93,crema-d
fold4,0.6273458445040214,0.5683079490643304,49,msp-improv_crema-d
fold4,0.5509761388286334,0.5159196863742318,49,msp-improv
fold4,0.7020148462354189,0.5986352704784119,49,crema-d
fold5,0.585679012345679,0.5231998111428324,73,msp-improv_crema-d
fold5,0.4616822429906542,0.3755048620461641,73,msp-improv
fold5,0.724607329842932,0.63926057522962,73,crema-d
average,0.6417876424512386,0.5870398420819953,73,msp-improv_crema-d
average,0.5473335224918913,0.49019225347105577,73,msp-improv
average,0.7297377913615204,0.6515718826410435,73,crema-d
