,acc,uar,attack_success_rate
fold1,0.8666666666666667,0.872,0.8666666666666667
fold2,0.8711111111111111,0.86575,0.8711111111111112
fold3,0.89,0.8899999999999999,0.89
fold4,0.891,0.891,0.8910000000000001
fold5,0.902,0.902,0.9020000000000001
average,0.8841555555555555,0.88415,0.8841555555555555
