,acc,uar,attack_success_rate
fold1,0.88875,0.8887499999999999,0.8887499999999999
fold2,0.82375,0.82375,0.8237500000000001
fold3,0.87875,0.87875,0.8787500000000001
fold4,0.85875,0.85875,0.8587499999999999
fold5,0.8625,0.8625,0.8625
average,0.8625,0.8625,0.8625
